annual_income,loan_amount,credit_score,debt_to_income,employment_years,past_due_count,defaulted
61912.95028994905,20829.84789576493,769.4276514178415,0.7228604931431695,18,0,0
51409.21341141088,13570.594684206688,763.1313189597954,0.3755297483843317,27,1,0
79548.67995567975,11198.870878772912,662.66606022695,0.25214565523411353,6,0,1
74784.89583886605,17477.96588952043,683.2098458180664,0.6219002217383512,2,0,1
42093.78817364102,6638.187585416121,610.2532366863412,0.3200474854086004,31,0,1
64307.62593178879,29890.887269396728,686.1575314052535,0.14922279282339304,30,1,0
53483.39386683003,28249.99856723156,592.8979293029722,0.6062054478264753,24,0,1
69084.61336793588,15092.804733499448,778.8834889302376,0.05169007201563735,32,0,0
64305.210470157166,14503.570419093348,742.7750469030817,0.1935803927706165,4,0,0
67729.12249107826,10055.597978847989,723.5998110523709,0.49459319403124036,28,0,1
65310.04486917077,20445.56415036233,640.7016509531844,0.12172367813656183,30,0,1
57948.479136970316,20518.617248738243,761.7675257360282,0.2290727778182136,25,1,0
72192.85275869405,24451.900474461036,569.3378008218557,0.3253130478261735,20,2,1
49830.99765790611,20617.30921518393,672.6097980564759,0.3274930625990321,33,0,1
97968.91602971524,9996.09960370508,690.7201014079002,0.730962082099574,0,0,0
64681.48420445618,11493.23552447393,794.0366778012907,0.5228819875289983,3,0,0
81844.56068977244,19328.08088282793,589.2841270899349,0.07591499306951408,21,0,1
54308.25463263606,11772.179547751792,774.9093598435908,0.20494516944719876,15,0,0
56512.32576354393,30426.826938107977,761.027130821428,0.48150172827623344,31,0,1
83443.95691865528,17854.08934664839,764.8028503454367,0.5493959799117062,33,0,1
80195.05526214716,5049.6370950244,639.8599763898476,0.3164173752148539,20,0,0
62545.70544512844,17183.39207430866,711.4722954782671,0.6496001933896723,26,0,1
29302.769793237523,16244.267523807053,743.1883209932683,0.7103995931598683,2,1,0
54519.01238746778,30202.58483369513,700.5925796333894,0.47984361820111643,33,1,0
63232.021530805825,18406.380051803575,704.9801684614902,0.4436727591738267,6,0,1
51352.280628100474,23373.73634686237,714.0251779265851,0.5755638171618311,28,0,0
39556.2994262555,16669.168824984117,635.3780907898625,0.5974306517086498,2,0,1
82080.21754896447,27228.780830410607,634.2759564410327,0.2008044777100958,1,0,0
61389.17884581069,29901.16754142833,734.3415923860891,0.3884988945128964,11,0,0
101177.79603688928,9807.429643729476,637.8692661452125,0.3632028623870019,14,0,1
61647.78457659379,12721.976241764743,703.2229220217392,0.7090267516962216,15,1,1
68548.87901992298,16100.684805836254,590.2833041059171,0.1282361584808978,2,0,0
53224.17233268682,26297.157080797733,665.0413588424092,0.7104293294876265,26,0,1
95220.92044117357,12211.85183219639,785.4474279838196,0.4508161818807589,22,0,0
58952.81931419649,1000.0,695.2098508471843,0.2516370601719899,32,0,0
60941.60745947447,25285.663433295922,763.45324716263,0.6585404253966914,26,1,1
45954.74951005299,11041.892601309777,797.7704687296169,0.08529741949791293,23,0,0
72592.04625536616,15000.905356575415,743.3711509484734,0.27325812928786075,26,0,0
58402.701813315725,14512.931063100767,710.6988335654473,0.5767756299112344,30,0,0
45614.24279670848,1000.0,672.8758357536027,0.6293842171385033,14,0,1
64029.23314027396,7402.735031848624,665.0775796679493,0.16724852101941617,34,1,1
79489.95441126522,25711.874003102457,657.5323382384154,0.709238578402174,23,0,1
97962.91106334912,17670.764383458412,757.0933639559047,0.08760576113849836,16,0,0
69716.52871369371,26607.168424667783,695.2797568175959,0.35348840727143443,33,0,0
53988.37830545295,32557.439175646537,740.0477884491919,0.11821320408897618,0,2,1
74133.9041526031,3305.437130209053,795.4163620819469,0.1183884248484032,19,0,0
62191.66560504845,15018.509146955961,815.3264151906449,0.6897290364932103,5,0,1
66126.10125227734,17005.495134274945,728.9834233322869,0.6827755303829762,4,0,1
64958.16989438593,31619.025826758938,728.6730504590693,0.48068084748735207,28,0,0
74227.52810134027,8277.895755350919,666.0052054406145,0.7264021066556549,5,0,0
76903.15337082151,20954.829425830245,745.9203455212838,0.39373729819659065,32,0,1
64011.46570800184,29562.590556651812,620.6678231414992,0.597998856591998,28,0,1
135359.3474198717,26012.905337506952,687.0145103487041,0.11808856278884125,9,0,0
83371.63770228837,22602.11750598164,608.839732687738,0.32693224355840117,31,1,1
23414.81714270264,11547.730894115015,589.6414417475185,0.4105643469391701,24,2,1
58062.95175432384,27789.621401969118,702.5542539895866,0.5947047059216493,27,0,0
64612.15850916276,3543.874494817399,611.5755185350536,0.2841369779542671,28,0,0
77184.24631091561,22513.80695901973,642.4715848484007,0.7362354405538767,34,1,1
101681.70792786818,2410.8877130411383,710.5308766001733,0.5643810443485691,31,0,0
50611.84617855774,34081.05473694843,747.0145165115161,0.42307753568031137,6,0,1
88018.62261931544,7669.648646658699,818.1234067143207,0.28153545171333283,9,0,0
69072.2603933156,13847.41017463186,547.8336461686243,0.49943405963060206,33,2,1
71582.52169603383,32996.958891773764,619.8090309763372,0.5211441259005501,32,1,1
88886.17751383907,22038.566676707054,548.2682932236714,0.5254274137435577,25,0,1
31725.77342793259,11462.543678828173,591.2332177081171,0.46033946640753554,12,0,1
75696.8977654764,19081.74745073232,716.7260476381527,0.330338934551668,29,1,1
98049.39842886408,20629.75087175394,677.9650091074459,0.6216586077291933,31,0,0
43841.23983433723,21805.741814642024,567.8666484470314,0.23079171666665504,32,1,0
65046.56926733234,16106.805402069109,703.2188378359995,0.487770698287541,5,0,1
78566.87531577598,15100.636672887116,788.2717514316653,0.3801702540691009,1,0,1
25865.349512232082,24187.632252468185,606.3325683652428,0.674986406248786,6,0,1
71719.43136813115,15722.316796561121,709.5212238170401,0.4633884240810743,29,0,0
59784.74936766006,8335.022360036215,791.8643985622921,0.6489696428486993,25,0,0
93036.13218754051,15159.688969516277,618.2150787980233,0.7173214447950906,24,1,1
50210.53388635839,17821.004156231178,674.1673879025869,0.13891689185984102,32,0,0
64159.03616781733,21112.1267181778,577.0593363662534,0.4386347132675954,5,0,1
48901.86683315773,19762.97985088457,774.7463708499222,0.6687830509852604,7,0,0
62619.29721362267,6119.167569519952,709.2261716361207,0.6604515890494049,8,0,0
50645.70184241189,22486.136613375307,637.4067987756185,0.18713652313779916,10,0,1
57288.92462028627,16124.130588678812,666.9880283584253,0.3869568961546983,23,1,0
42072.757934633075,12941.551930819443,745.5863402046474,0.2061675641080155,5,1,0
51079.480316882604,26420.569966522522,568.0459201808703,0.6777723695542613,15,0,1
49985.913756816095,11492.110479589768,622.6892357209638,0.052260540095282276,16,1,0
55827.0852933544,34064.933358009366,695.4505668468776,0.20287998285683223,23,1,1
62668.58386975206,33188.647271929614,742.450980613773,0.3363237867910007,6,1,1
12000.0,27073.991695084827,711.9375508587394,0.20479561139875946,26,1,1
67858.15716279876,11945.525460168632,578.7245311849972,0.7315069278412161,9,0,1
89782.53797082456,23160.725640666933,749.9019391079175,0.22081861615035248,8,0,1
80078.46043133474,20418.143301527918,762.6229793086504,0.3036204564494706,9,0,0
47662.1726271146,11506.5388936569,750.3550432616953,0.17185015322973896,29,1,0
85454.87464381862,27623.76718830863,681.4227110921202,0.698668586046233,8,0,1
48824.69485323265,17997.28769788547,640.1466047325217,0.3378935553382529,25,0,1
70857.45824471881,1000.0,781.1028775248417,0.23329362890618005,33,0,0
16668.826859411092,31303.095334682657,647.2623713834295,0.22228323494001556,34,0,0
77190.08961066019,31585.38744759019,689.4571278778394,0.45993119885521944,26,0,0
65100.47653761535,17423.89515434236,744.8079784589031,0.7343517488946444,19,2,0
67773.00792097101,23583.659027133483,768.862366516824,0.7319204617842757,23,0,0
65348.18476705208,21104.049901408733,629.560692687419,0.7371765367666056,26,0,1
102364.33811484641,13720.109923602227,771.1593371405728,0.32065021780284625,18,0,1
82475.58041179244,42024.31944112899,642.0118509150461,0.6900934262544631,17,0,1
79319.08472669404,12444.55545847147,736.1555870517936,0.3610733724604478,11,1,0
76105.63806968948,18461.643172054006,726.3179718002955,0.4073969074753022,17,0,1
105115.63904150281,7935.152545798615,684.9037256298827,0.41392999412759746,7,2,1
59960.353081252164,25708.215140969427,584.3547036600614,0.09451434404476902,15,0,0
37227.556181561435,24230.01390511316,609.4319133224755,0.1739474809664321,12,0,1
99339.45140997625,25751.03873906174,749.5435281257295,0.6702657032388942,25,0,0
55496.46169472392,7017.838969479815,712.3089713384753,0.6774495275164063,25,0,0
74912.85350053974,20484.113913353005,719.100673103009,0.1913954251799434,20,0,1
75426.5812365585,21544.289733619542,660.4815126309682,0.2618463461038016,20,2,0
50320.94870379383,6153.802120049724,653.700392759913,0.6308662925648775,7,1,1
36726.4462420015,21512.90828694038,712.9219488983172,0.19291766898395446,32,0,0
86318.46184486996,12177.169128983905,657.1553098386098,0.6665772366614393,5,0,0
90368.8068374588,15315.632401026938,712.0258061154717,0.6262337352258555,1,0,1
77666.24813558054,23198.785266680872,597.8285903699808,0.61528515699389,7,0,1
73042.97199209547,19788.488895106027,686.0900903513937,0.6742221013504921,5,0,1
37031.97514326405,11312.367085352482,629.5342005118912,0.6708445032496012,5,0,0
58363.839969184366,7789.977561741651,696.0604332194478,0.6920455330190539,21,2,1
89273.31450144511,16521.74422523889,603.6824778913692,0.6656795534200171,24,0,1
49395.66471973237,20018.098537046873,770.9808807337558,0.4748456207658568,30,0,0
67655.98687291692,18128.941728432786,566.1870667089677,0.16040761463573006,34,0,1
74223.2113954939,16864.154617210213,753.7280087837831,0.47639840334973516,4,1,0
75292.84540323926,15926.47523075489,658.0338802675718,0.7095481630091215,21,0,0
44508.45361334142,30925.955782705627,723.6068085891804,0.7273725025224652,24,0,0
62645.67258649474,19701.405640773075,712.5091582767468,0.5599244949434582,17,0,0
81916.92973038695,19823.336132263827,643.5725618658998,0.5356848464111555,8,1,1
102180.74136134265,16014.351075334787,651.1691725407517,0.706904527728484,24,1,0
60683.474982865955,14166.178966866963,753.4540237821373,0.25389407711419054,28,0,0
73223.27708703256,34941.63097424661,691.2958340517755,0.1556870665987916,32,0,0
41806.561131307535,23068.841497199537,660.9058876029032,0.25300052258557265,7,1,1
60147.12499597348,24994.481224329014,652.0614064255041,0.7142639702738136,12,1,1
55000.457669383155,10791.392315459001,663.6739176702777,0.19861530117631804,7,0,0
103758.58054387529,26900.05739539968,795.944010771502,0.2073165372101981,26,0,0
79662.58017060111,8977.353729084765,785.3096888818853,0.18506436861504577,2,0,0
66868.84038294875,21002.207388336174,798.7483700952015,0.3893597716385342,32,1,1
26925.575598265947,18991.84502015688,795.5417317474681,0.6074719097505484,30,0,1
71168.16094672465,29900.4827509072,630.7703159441922,0.3172964914200276,27,0,0
71369.41963296826,13526.451158661748,684.9425537427687,0.12008468780890176,20,0,0
60463.56332778183,23031.737906778202,638.1785674565916,0.56814148639818,28,0,1
65933.8903677465,21533.002790631785,742.6458633244548,0.47688052182638524,28,0,0
101029.95059283063,11088.781445504846,668.9365207492517,0.38540499813441254,8,1,0
83975.17816839737,22831.628302759207,650.2961749143085,0.7248690872544389,21,0,0
47292.70527472506,16650.604204682248,652.5230831198891,0.3792970731558252,7,0,0
104047.37298108073,17622.2029846487,628.4355842941571,0.5627703779900365,16,0,0
