amount,transaction_hour,merchant_risk,card_age_months,chargeback_count,foreign_txn,is_fraud
191.49435118953892,20,0.7144484939393951,12,1,0,1
119.557178417247,22,0.4024307256477919,25,0,0,1
110.58268674967628,17,0.18798387207603384,38,0,0,1
110.58418354654405,20,0.5408595788250777,48,0,0,1
371.97715297845207,15,0.225336911454328,82,1,0,1
229.33649847713778,10,0.9742875560126001,83,0,1,0
90.48624013927193,9,0.3903399140119541,55,0,0,1
197.58515787449707,8,0.9096649716091162,3,0,0,0
159.91682112517174,11,0.2255539966036243,99,0,0,0
17.273195479246834,18,0.18920900530577645,69,0,0,0
53.6993826150165,0,0.6169011290397374,35,0,0,1
168.49325098785306,17,0.7793790783033206,51,0,1,1
349.21414939868225,13,0.5667645638523757,27,0,1,0
111.34817479673168,21,0.22979568360525937,37,0,1,1
84.64219512434428,20,0.03789436288399606,110,1,1,0
145.12060331777326,0,0.6182888211910051,85,1,1,0
80.42275845744781,16,0.1310372253655483,16,0,1,0
105.41931049113508,10,0.3431763870323312,92,0,0,0
131.94419831522117,19,0.6757847536712315,25,0,0,0
51.210984387510685,14,0.09802344058293189,33,0,0,0
237.60480753705113,3,0.1272514797839558,62,0,0,1
42.814515702323206,14,0.06166620730740413,17,0,0,0
37.82347550677387,21,0.9960791289068266,43,0,0,1
154.7160334310508,21,0.38707676860158124,30,0,0,0
225.06830463832404,13,0.9057951677346345,41,0,0,0
151.82684594856565,21,0.2935856384242821,117,0,0,0
121.74233416676806,0,0.7532025651404958,4,0,0,0
104.59051479867794,8,0.2190666163123789,66,0,0,0
91.19278645493203,6,0.49832470964825026,60,0,0,0
275.023944041556,22,0.8246157392957796,9,0,0,0
169.68351515119377,10,0.8163343988950826,118,0,0,1
97.38550509269233,22,0.7942807173626745,31,0,0,1
74.92852234492457,1,0.8237344130385529,89,0,0,1
207.00951653662992,1,0.21147228130587925,101,0,0,1
270.6753338721774,5,0.48221627256038646,100,0,0,1
254.49678254423108,22,0.4848714745971586,119,0,0,0
64.08376385690775,18,0.8905024873479125,69,0,0,1
103.87982410300994,19,0.2968918293994288,24,1,0,0
89.71479740160788,13,0.9314958933890483,24,0,0,0
115.06304926287909,2,0.45079573630609904,93,1,1,1
236.0870818690605,6,0.6697870031774188,114,0,0,0
328.18099657657683,6,0.26888311227933437,45,2,0,1
174.27897122467988,3,0.4102981068313073,95,0,1,1
77.18756984737738,22,0.7098009320691404,37,0,1,0
129.66735719111233,4,0.5127471418510093,58,0,0,0
369.00316280588675,16,0.9307080116883338,83,1,0,1
142.52708812430822,3,0.7371249658974774,23,1,0,1
104.77477620604617,22,0.5644029255105999,35,0,0,0
111.90820894410228,12,0.8866697566522082,63,0,0,1
173.72106912384098,15,0.6655563887887443,118,0,0,0
66.05053876042102,15,0.6473204734204323,114,0,0,1
87.93576944986901,1,0.24637133314762727,6,1,0,0
251.98179148594005,17,0.3948569655282109,6,0,0,0
170.25020922584514,0,0.6833036526040215,101,0,1,1
143.6128672383104,17,0.8917917114831578,30,2,0,1
260.48108517432274,7,0.3155474736449152,1,0,1,1
73.17486270252202,10,0.2154856219429847,63,0,0,0
102.27479337847842,23,0.5936959788158558,8,0,0,1
166.31442438251153,23,0.06719709810271313,28,1,0,0
162.15316724778904,14,0.7145417014500052,89,0,0,0
34.067645943873046,15,0.7031385432874808,33,0,0,1
94.43691308840918,16,0.3549660309861551,53,1,0,0
117.35986962892851,16,0.8926776533449017,38,0,0,1
179.56844336254142,11,0.5021811415391275,52,0,0,1
161.74109132140796,9,0.6457649506929368,78,0,0,1
125.7914371201047,19,0.20957848193833784,11,0,0,0
17.12840655248005,5,0.41734033516,2,0,0,0
130.61369555611685,7,0.8624175402697681,53,0,0,1
139.65112222281786,12,0.2129395476323428,94,0,0,0
583.8398231026297,1,0.3905743775924688,94,0,0,1
114.43678181045065,18,0.31807654442812994,68,0,0,0
166.9647617971198,21,0.15111018486478012,77,2,0,0
289.6170207104772,9,0.28971791812753556,7,1,0,0
227.04581571778886,3,0.23277228357521673,102,0,0,1
337.02436644891833,11,0.9235936304613274,67,0,1,0
34.63297755261492,17,0.741078804542796,9,0,0,0
54.96495153282605,6,0.3161015817828243,78,0,0,0
82.98136355537815,19,0.7633390532427098,116,0,0,0
28.745375588180377,23,0.022139953033871396,63,0,0,0
140.5405834886518,23,0.5265247107711399,11,0,1,1
59.134216845641355,22,0.2503345637346731,37,0,0,0
366.0166997345672,3,0.11432207180851417,14,0,0,0
67.69607043562314,6,0.8837585283384886,19,0,1,0
102.76025742957117,9,0.1993405342625726,8,0,0,1
236.23697277634022,14,0.8223910929462823,7,0,0,0
42.33104455739948,11,0.4132226774917712,59,0,0,0
26.68665319279929,0,0.01429077004070034,63,0,0,0
153.325739502209,19,0.7325328293010253,7,0,0,1
162.01523885998026,17,0.5963597582193679,55,0,1,0
231.47637118590643,15,0.3441718831678193,3,0,0,1
194.83017760221983,4,0.28154593392626337,67,1,0,1
166.41789364562314,18,0.07369125237043472,18,0,0,0
74.71051335633811,3,0.9414255948352722,45,0,0,0
158.78759293095553,5,0.4939848846920857,97,0,0,0
165.9499408128562,16,0.08552451757610802,101,1,0,0
72.32674342468141,6,0.8686797177444705,92,0,0,1
433.76604158227417,23,0.2788331728178167,36,0,0,1
188.50188566144877,22,0.20360271573465483,16,0,0,1
55.87693963763172,6,0.28093743834221874,79,0,0,0
232.26223241618095,8,0.5645714586071113,29,0,0,0
259.63161123231197,12,0.0740564844970365,59,0,0,0
180.67026790091325,19,0.48175690912267644,18,0,1,1
109.56158705111442,13,0.8957434451243126,49,0,0,1
